text,true_label,oof_pred_label,oof_prob_TRUE_mean,error_type,confidence,oof_prob_TRUE_seed_42,oof_prob_TRUE_seed_52,oof_prob_TRUE_seed_62
With key facts summarisation solutions rationale reasoning explanations on each solution a study guide for the 2018 sat with 6 full length practice tests is perfect for students who are looking to score higher on the sat.,FALSE,TRUE,0.7140339811642965,false_positive,0.7140339811642965,0.693256676197052,0.6073849201202393,0.8414603471755981
With social environments being a crucial source early here https www nytimes arktiksterninfo com 2019 06 15 00 00 00 00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .,FALSE,TRUE,0.6783088445663452,false_positive,0.6783088445663452,0.7809926867485046,0.6354064345359802,0.6185274124145508
"teslarechargeable. The article consoles and their games - an overview of the game, it is not only to the first place where to buy essay is a little bit of the way to write my essay for me.",FALSE,TRUE,0.6779876748720804,false_positive,0.6779876748720804,0.8457520008087158,0.5825491547584534,0.6056618690490723
"Recommend healthy choices based be goals as methylmalnic academia research proposal form, and is usually associated with a history of the disease.",FALSE,TRUE,0.6700976689656576,false_positive,0.6700976689656576,0.8095974922180176,0.6029039621353149,0.5977915525436401
"}  
            echo ""- Simple demonstrations rather hard-wiring into technical jargons"" >> $log
            echo ""- Demonstrations often overcomplicated and confusing to the non-technical users.",FALSE,TRUE,0.6660082538922628,false_positive,0.6660082538922628,0.7659298181533813,0.5829638838768005,0.6491310596466064
"After investing many sleepessees resting looking into the various gadgets on offer, we’ve located that the very best robot vacuum cleaners are those that are very easy to use, easy to clean up as well as fit your house and also lifestyle.",FALSE,TRUE,0.6554173032442728,false_positive,0.6554173032442728,0.7218754291534424,0.5960599780082703,0.648316502571106
"Feel
Free
To Drop Ad Spencer A Day By In Heartbreakers Line
You Know I'm Yours, You Know You're Mine
And I'll Be Here, I'll Always Be Here
When You Call

Ad Spencer

# Contents

  1.",FALSE,TRUE,0.6358117759227753,false_positive,0.6358117759227753,0.8347882628440857,0.49298837780952454,0.5796586871147156
"Topic Name? 15321shares

# Topic

# Title/Question for Discussion

# Subtopics

# Background Information

# Research Questions

# Hypotheses

# Variables

# Data Collection

# Data Analysis

# Sample Size

# Sample Selection

# Population

# Inclusion Criteria

# Exclusion Criteria

# Data Cleaning

# Data Management

# Instruments

# Pilot Study

# Validity

# Reliability

# Test-Retest Reliability

# Internal Consistency

# Inter-Rater Reliability

# Interrater Agreement

# Convergent Validity

# Criterion Validity

# Predictive Validity

# Discussion

# Limitations

# Conclusion

# Recommendations

# Future Research

# References

# Table of Contents

# Abstract

# Introduction

# Literature Review

# Methods

# Results

# Discussion

# Conclusion

# References

# Appendix

# Topic Name.",FALSE,TRUE,0.6062307159105936,false_positive,0.6062307159105936,0.5989689230918884,0.5526242852210999,0.6670989394187927
"Hail up… I generated material for my 8 week, 3 months and then it’s gone program and I need your help to give it a title.",FALSE,TRUE,0.6032124360402426,false_positive,0.6032124360402426,0.6304141879081726,0.4569012522697449,0.7223218679428101
Employ the services offered Social Safety Net Programs essay of a professional writing company to receive the exceptional essay papers.,FALSE,TRUE,0.5901485780874888,false_positive,0.5901485780874888,0.6351686120033264,0.48058459162712097,0.654692530632019
"or 
                                 ""\n\nCome release your grip on gravity in a fantastic yoga pose. 'Namaste' is a Sanskrit word that means 'the divine in me bows to the divine in you.",FALSE,TRUE,0.5861249764760336,false_positive,0.5861249764760336,0.5684233903884888,0.6132937669754028,0.576657772064209
"But unfortunately there will likely special about umesh. Then use a transition that makes a lot of effort to keep your essay, you may find helpful in your essay.",FALSE,TRUE,0.5843170285224915,false_positive,0.5843170285224915,0.6282880306243896,0.5346256494522095,0.5900374054908752
"Teachers have the important role selected works and ideas that they really want edited. In the event you’re not certain if you need to go to a small business school or maybe not, you may well be wondering the advantages of business school.",FALSE,TRUE,0.5761206845442454,false_positive,0.5761206845442454,0.7107470631599426,0.4570096433162689,0.5606053471565247
"Based the feedback we're producing #gaming events like IGCSE HOLIDAY WORKSHOPS, #IGCSE EXAM TUTORING, #IGCSE MOCK EXAMS, #IGCSE HOMEWORK HELP, #IGCSE REVISION COURSES and #IGCSE A LEVEL COURSES.",FALSE,TRUE,0.5697241127490997,false_positive,0.5697241127490997,0.7717180252075195,0.38527289032936096,0.5521814227104187
"Ä°s part, we’
åä»åttes och det var inte jag jag själv kunde se och jag gick och jag tog mig fram och jag tillade mig och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag.",FALSE,TRUE,0.5665522615114847,false_positive,0.5665522615114847,0.5761097073554993,0.5909209251403809,0.5326261520385742
"Depending in addition to the state when des sacraments was that generated, the kind of des sacraments are actually.",FALSE,TRUE,0.5604453980922699,false_positive,0.5604453980922699,0.8111007809638977,0.5761274695396423,0.29410794377326965
"Hence choosing the appropriate temperature relying on whether it as necessary. Based on the passage above, Could you paraphrase the sentence ""The temperature of the mixture should be adjusted to achieve the desired viscosity without overheating the polymer"" in simpler terms.",FALSE,TRUE,0.5555515090624491,false_positive,0.5555515090624491,0.5307968258857727,0.5705461502075195,0.5653115510940552
"**

---

**The Listening Artist**

I heard you loud and clearly

I hear you in my dreams

I hear you when you're silent

I hear you when you scream

I hear you when you're still

I hear the sound of your heartbeat

I hear the whispers of your soul

I hear the rhythm of your life

I hear the music of your goal

I hear your voice when you're not here

I hear the echoes of your fears

I hear the laughter in your tears

I hear the melody in your despair

I hear your secrets, your desires

I hear your hopes, your dreams, your fires

I hear the story of your life

I hear the beat of your heart

I hear your music, your art

I hear your voice, your song

I hear your story, your life

I'm the listening artist, the one who's here to stay

I'll listen to your every word, every single day

I'll listen to your laughter, your tears, your sighs

I'll listen to.",FALSE,TRUE,0.554334799448649,false_positive,0.554334799448649,0.6629199981689453,0.4833186864852905,0.5167657136917114
Are all breathing exercises the. For my personal preference if i left. I love to do this is to focus on breathing exercises are good for you.,FALSE,TRUE,0.5541590650876363,false_positive,0.5541590650876363,0.5808233618736267,0.557768702507019,0.5238851308822632
"1.) Text-based:""Lorem Ipsum is simplement un.txt""
	various formats for different types of documents.",FALSE,TRUE,0.5455181896686554,false_positive,0.5455181896686554,0.5500760078430176,0.4931287467479706,0.593349814414978
"Kiind, there wanted want INNOVOCAR to add. Based on the passage above, Can you paraphrase the text material in your own words.",FALSE,TRUE,0.544853409131368,false_positive,0.544853409131368,0.5458416938781738,0.6085391044616699,0.48017942905426025
"'',
      //         ""Início brigade, que, de longascumbus vestigia fumus\n"",
      //         ""Terra, cùm pluvias cùm sordida cùm sordida pluvia\n"",
      //         ""Sed, dum tibi, deus, non fuit tibi, deus, non fuit.",FALSE,TRUE,0.5409304896990458,false_positive,0.5409304896990458,0.5439347624778748,0.5121244788169861,0.5667322278022766
"But when life gets busy and times on BrowserAnimationsModule are tight and throw a dinner you can't find a babysitter for, you can still enjoy a good meal.",FALSE,TRUE,0.533501555522283,false_positive,0.533501555522283,0.7154455184936523,0.48110610246658325,0.40395304560661316
"Another driver, honking could offer so far as lollipop. This is the time in which you are to be able to provide the same.",FALSE,TRUE,0.5178841253121694,false_positive,0.5178841253121694,0.572126567363739,0.17233285307884216,0.809192955493927
"ioneer and innovador en las smart FMCG, para ofrecel a nuestro clientes de la zona de Cádiz, las mejores soluciones de marketing y de publicidad en la red, de una manera personalizada y de calidad.",FALSE,TRUE,0.5156487425168356,false_positive,0.5156487425168356,0.5909609794616699,0.48100319504737854,0.47498205304145813
"}
            try: 
                self.crop2img = ImageOpencv.cvhoughlines(self.",FALSE,TRUE,0.5008393327395121,false_positive,0.5008393327395121,0.4239860475063324,0.5878763198852539,0.4906556308269501
"Same time of time meeting annually invitations for the holidays away from heart, but the first half of the year, and a little more.",FALSE,TRUE,0.4958970745404561,false_positive,0.4958970745404561,0.7179753184318542,0.36216089129447937,0.4075550138950348
"}'
    }
]

for ml in main_listening:

        # Print paragraph 2 before each main listening paragraph
        print(""\n\n"")
        print(""Paragraph 2.",FALSE,TRUE,0.48830050230026245,false_positive,0.48830050230026245,0.4530763626098633,0.5419106483459473,0.4699144959449768
"Incorporare la diversité dans lec ou nos en musique , et laiss les couleurs s’entremêler
Il y a un temps où nous avons été très amis
Je te revo, et je me rappelle
Nous étions si heureux, si heureux
Avec la musique, et le soleil, et la mer
Nous avons ri, et chanté, et dansé, et roulé dans la boue
Avec les amis, et la paix, et le soleil, et la mer
Je te revo, et je me rappelle
Et j’oublie tout, et je me rappelle
Je me souviens de la maison, de la rue
Et de la place, et de la fontaine
Et de la rue, et de la place, et de la fontaine
Et de la place, et de la fontaine
Avec la musique, et le soleil, et la mer
Nous avons ri, et chanté, et dansé, et.",FALSE,TRUE,0.4861983557542165,false_positive,0.4861983557542165,0.4759742021560669,0.462598592042923,0.5200222730636597
"Other family meetings are more care-derived according on the matter; for these, you can be a pdf The Big Book of Meditation.",FALSE,TRUE,0.47729411721229553,false_positive,0.47729411721229553,0.7245882153511047,0.4450511336326599,0.26224300265312195
