method,test_row_id,neighbor_rank,similarity,train_row_id,train_label,test_char_length,train_char_length,test_word_count,train_word_count,test_text,train_text
word_tfidf_1_2,0,1,0.1573777016552389,3719,FALSE,135,79,16,11,"Make adjustments monthly or quarterly as improvementsPushMatrix are made to address accountability, communication, and decision-making.","...""\nHow do new harnessings developments being made to wind energy. ASSOCIALLY:"
word_tfidf_1_2,0,2,0.1528582427653128,1846,FALSE,135,110,16,19,"Make adjustments monthly or quarterly as improvementsPushMatrix are made to address accountability, communication, and decision-making.","+ _""\r\n""_\n+""Chat about current news and issues proposed for debate, discussion and decision by the community."
word_tfidf_1_2,0,3,0.15260462600947444,3333,FALSE,135,156,16,20,"Make adjustments monthly or quarterly as improvementsPushMatrix are made to address accountability, communication, and decision-making.","Technomar provided funding supporting data strategy, ensuring that customer data is appropriately captured and analyzed to enable effective decision making."
word_tfidf_1_2,0,4,0.1464299764066167,4825,FALSE,135,140,16,23,"Make adjustments monthly or quarterly as improvementsPushMatrix are made to address accountability, communication, and decision-making.",Planning helps you achieve prevention-focused goals by making sure every adjustment and decision you make is in line with your overall plan.
word_tfidf_1_2,0,5,0.14496639563227076,2133,FALSE,135,226,16,27,"Make adjustments monthly or quarterly as improvementsPushMatrix are made to address accountability, communication, and decision-making.","Develop clear communication and behavioural exchange approaches, and describe exemplary communication and behavioural exchange practices that promote positive relationships between individuals and groups in a specific setting."
word_tfidf_1_2,1,1,0.14738611819124792,30,FALSE,185,116,26,18,"So whether exploring applications designed for business purposes or entertainment / leisure-only use,\nit makes perfect since we are living capability has broad and indefinite potential.",I absolutely believe in this sensible oversight.\nWe are living nearby to some very interesting and important people.
word_tfidf_1_2,1,2,0.12653352160164166,3421,FALSE,185,94,26,18,"So whether exploring applications designed for business purposes or entertainment / leisure-only use,\nit makes perfect since we are living capability has broad and indefinite potential.","There will be a lot of questions added to mine, so this post makes perfect and complete sense."
word_tfidf_1_2,1,3,0.11153380751841369,4087,FALSE,185,81,26,13,"So whether exploring applications designed for business purposes or entertainment / leisure-only use,\nit makes perfect since we are living capability has broad and indefinite potential.",Put vegetables in the case made expressly designed for this form of organization.
word_tfidf_1_2,1,4,0.1113459802982194,528,FALSE,185,133,26,26,"So whether exploring applications designed for business purposes or entertainment / leisure-only use,\nit makes perfect since we are living capability has broad and indefinite potential.",So whether it has to parking information to store hours and even interactive map. A good example of this is a hotel in a remote area.
word_tfidf_1_2,1,5,0.10723360064879484,4647,FALSE,185,202,26,30,"So whether exploring applications designed for business purposes or entertainment / leisure-only use,\nit makes perfect since we are living capability has broad and indefinite potential.",":) \n\nI think Nonamedude has made a brilliant start in identifying some very interesting potential applications for this technology, and it's great to see that others are already exploring similar ideas."
word_tfidf_1_2,2,1,0.16869233918434667,445,FALSE,100,93,13,15,Sleep deprivation further worsens the mental declayout suffered due the hectic examination schedule.,A well adjusted workout makes keeping up my active regime simpler despite my hectic schedule.
word_tfidf_1_2,2,2,0.15185182819561227,3380,FALSE,100,139,13,22,Sleep deprivation further worsens the mental declayout suffered due the hectic examination schedule.,Before attempting any serious walking journey.\nThe benefits of walking every moment are many from the physical to the mental and emotional.
word_tfidf_1_2,2,3,0.14623064298773025,178,TRUE,100,172,13,25,Sleep deprivation further worsens the mental declayout suffered due the hectic examination schedule.,"An amber warning led authorities to issue safety reminders, release sandbags, cancel events due the poor outdoor conditions, evens distributing water bottles to the public."
word_tfidf_1_2,2,4,0.14175050514826104,1146,FALSE,100,122,13,18,Sleep deprivation further worsens the mental declayout suffered due the hectic examination schedule.,"With scientific and technological proven effective, pet healthcare can improve the mental health of pets and human beings."
word_tfidf_1_2,2,5,0.1395292588340995,2995,FALSE,100,147,13,23,Sleep deprivation further worsens the mental declayout suffered due the hectic examination schedule.,#1 Top Tip for Sleep Clean: Create Sleep-constructional Place\nCreating a sleep-constructional place is the first step towards better sleep hygiene.
word_tfidf_1_2,3,1,0.31707184557944623,2683,FALSE,72,50,10,3,"Create me one please!"" What person''s planner needs creating?\nassistant:",```\n  assistant\n``nodeModulesD3 = netcoreModuleD3.
word_tfidf_1_2,3,2,0.16090570112350777,2270,FALSE,72,80,10,10,"Create me one please!"" What person''s planner needs creating?\nassistant:","\\\n2, Please lengthen elaboraded explanation. Please strengthen the formal tone."
word_tfidf_1_2,3,3,0.15492181098172453,4868,FALSE,72,59,10,10,"Create me one please!"" What person''s planner needs creating?\nassistant:","Please.""\n""Of what blood/what blood?""\n""I wonder, what blood."
word_tfidf_1_2,3,4,0.14668509232624904,4063,FALSE,72,111,10,18,"Create me one please!"" What person''s planner needs creating?\nassistant:",Europe Trip Planner: Ashmitkumar’s Blog. Here’s something that I like about the European trip planner websites.
word_tfidf_1_2,3,5,0.1465988815348931,4859,FALSE,72,76,10,12,"Create me one please!"" What person''s planner needs creating?\nassistant:",What activities could come across in subheadings of a wellness planner page.
word_tfidf_1_2,4,1,0.16360383639359477,620,TRUE,88,165,16,24,"Based this reading, how funable will the activities in nature we plan for our family be.","Based everyone reading, how might experts recommend enhancing Ideagen.com outcomes, according to reader feedback from 374 visitors relative data from 1,000+ visitor."
word_tfidf_1_2,4,2,0.16130012032236674,3521,FALSE,88,146,16,31,"Based this reading, how funable will the activities in nature we plan for our family be.","In today‘s post we del vitre dore leiston 2 0 1 1 4 s, we will be talking about the benefits of having a digital marketing plan for your business."
word_tfidf_1_2,4,3,0.1383524912120414,1647,FALSE,88,145,16,24,"Based this reading, how funable will the activities in nature we plan for our family be.",Would this reading comprehension question just count the words of advice communicated or would we also be looking at the quality of advice given.
word_tfidf_1_2,4,4,0.1363229148359013,1034,FALSE,88,71,16,12,"Based this reading, how funable will the activities in nature we plan for our family be.",Can Mabel suggest to Zara a vegetarian appetizzer for our dinner party.
word_tfidf_1_2,4,5,0.12969745408652833,4178,FALSE,88,185,16,38,"Based this reading, how funable will the activities in nature we plan for our family be.","I understand how the westerns can be tempting as in the past, but I think we need to look towards the future and plan for what we want our communities to look like in the years to come."
word_tfidf_1_2,5,1,0.14703651760646608,2458,FALSE,145,86,25,13,They'd stop here half a thousand poems into Carol’s saga for nothing less a bagged selection of the interior architect s most prized possessions.,Nothing beat reading the awesome poems you’ve written though Scarlett!! Keep shinning.
word_tfidf_1_2,5,2,0.13359301799500567,2438,FALSE,145,97,25,16,They'd stop here half a thousand poems into Carol’s saga for nothing less a bagged selection of the interior architect s most prized possessions.,"We offer a wide variety,"" - John Smith (Customer 1)\n\n""A great selection of vegetables and fruits."
word_tfidf_1_2,5,3,0.12944402492475793,1332,TRUE,145,158,25,22,They'd stop here half a thousand poems into Carol’s saga for nothing less a bagged selection of the interior architect s most prized possessions.,Herein evolves simplicity and convenience as these:\n- In-house designer clothing:\nThe interior fashion of individuals is often identical no issues addressing.
