label,text,label_norm,char_length,word_count,avg_word_length,max_word_length,unique_word_ratio,stopword_ratio,digit_ratio,uppercase_ratio,punctuation_ratio,whitespace_ratio,non_ascii_ratio,non_alnum_ratio,newline_count,url_domain_count,code_symbol_count,decode_error_flag,prompt_template_flag,spam_keyword_count,risk_keyword_count,repeated_token_count,very_long_token_count,weird_token_ratio,sentence_count,avg_sentence_word_count
FALSE,"Although some of its components intersect deeper into its mechanics and science, the game of chess is still considered a form of art.",FALSE,133.0,23.0,4.739130434782608,10.0,0.8695652173913043,0.391304347826087,0.0,0.009174311926605505,0.015037593984962405,0.16541353383458646,0.0,0.18045112781954886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0
FALSE,Losing excess WEIGHT can help jokers take off pounds or even more from your body.,FALSE,81.0,15.0,4.4,6.0,1.0,0.2,0.0,0.10606060606060606,0.012345679012345678,0.1728395061728395,0.0,0.18518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0
FALSE,"Crazy how many types dayalilyami has them! Based upon the passage above, what are some of the different types of daylilies mentioned in the text.",FALSE,145.0,25.0,4.72,11.0,0.84,0.4,0.0,0.01694915254237288,0.020689655172413793,0.16551724137931034,0.0,0.18620689655172415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.5
FALSE,"Inevitably someone will lose pollen, use the wash bin in a public place and forget to dispose of the bag.",FALSE,105.0,20.0,4.2,10.0,0.95,0.4,0.0,0.011904761904761904,0.01904761904761905,0.18095238095238095,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0
FALSE,"Topics might even be blurred through this process. While the chapter also discusses the history of the topic, the chapter is not a history of the topic.",FALSE,152.0,27.0,4.555555555555555,9.0,0.7037037037037037,0.4444444444444444,0.0,0.016260162601626018,0.019736842105263157,0.17105263157894737,0.0,0.19078947368421054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.5
FALSE,Care instructions: do you start incorporating fruit preserves in slow cooked meals at this point.,FALSE,97.0,15.0,5.4,13.0,1.0,0.26666666666666666,0.0,0.012345679012345678,0.020618556701030927,0.14432989690721648,0.0,0.16494845360824742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0
FALSE,Who hasn't stood frony outside it just wondering wildly trying to figure out what's going on inside.,FALSE,100.0,17.0,4.882352941176471,9.0,1.0,0.23529411764705882,0.0,0.012345679012345678,0.03,0.16,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0
FALSE,Sustainable transport is crucial policy priority since it could have a sizeable environmental return.,FALSE,101.0,14.0,6.214285714285714,13.0,1.0,0.2857142857142857,0.0,0.011494252873563218,0.009900990099009901,0.12871287128712872,0.0,0.13861386138613863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0
FALSE,"Bread bread, canned vegetables peas any grain you want. It gets a little boring after awhile.",FALSE,93.0,16.0,4.6875,10.0,0.9375,0.1875,0.0,0.02666666666666667,0.03225806451612903,0.16129032258064516,0.0,0.1935483870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,8.0
FALSE,"Utilizes a clear number-coded instructional format to gradually build the toolset required for a complete range of woodworking projects, from basic to advanced.",FALSE,160.0,24.0,5.625,13.0,0.9166666666666666,0.3333333333333333,0.0,0.007407407407407408,0.01875,0.1375,0.0,0.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0
