text,true_label,oof_pred_label,oof_prob_TRUE,error_type,confidence
"Informationen zur Geschichte in den Wetter Youtube Video.
Karte - 53.",FALSE,TRUE,0.9111001502355202,false_positive,0.9111001502355202
"Compensated courses bend without consuming too much to be used. The most common type of compensation is a vertical compensation, where the top of the bore is tapered to provide a larger diameter at the breech end than at the muzzle end.",FALSE,TRUE,0.907690269546494,false_positive,0.907690269546494
"But over the weekend the more dramatic moments of this nightmar horrific episode of the show were overshadowed by the revelation that one of the contestants, Danni, is in fact a convicted fraudster.",FALSE,TRUE,0.9027312194738979,false_positive,0.9027312194738979
"This wouldnв
Rel & Sam вЂ’ New Music and Tour Dates
Rel and Sam вЂ“ New Music and Tour Dates
Rel and Sam are a London-based indie-folk duo, who have been making waves in the UK music scene with their unique and refreshing sound.",FALSE,TRUE,0.8982846664211399,false_positive,0.8982846664211399
"The nice thing is that I donanger? 🙂 Reply

4 K
I think I'll go with the second option.",FALSE,TRUE,0.888838796442685,false_positive,0.888838796442685
"Some historical genres and-or practitioners of counterbalanced music were the fugue, the contrapuntal motet, the ricercar, and the choral mass.",FALSE,TRUE,0.8873485053915278,false_positive,0.8873485053915278
"See below for specific bits coming hot off my wire... Based off the passage above, Can you give me an overview of the author's experience at the food festival, including the challenges they faced and the dishes they tried.",FALSE,TRUE,0.8850653173792407,false_positive,0.8850653173792407
Any specific rules or allergies in of Konstntriik-kunstnaren och och till och med det tysta och skuggorna och skuggornas och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna.,FALSE,TRUE,0.8761751248800926,false_positive,0.8761751248800926
"Brr!""
print(""Haacked! What are hackers exposing in their reports.",FALSE,TRUE,0.8710855591085842,false_positive,0.8710855591085842
Incorporâte lemongrec jousses de chine vertes de poire et de pamplemousse dans le bol.,FALSE,TRUE,0.8645857197169954,false_positive,0.8645857197169954
Free essay: introduction honesty versus deception in willfuldeception by john o'neill essays.,FALSE,TRUE,0.8642749966127349,false_positive,0.8642749966127349
"In traditional punishment training, roll and verbal corrections are very popular. However, these methods are often harsh and can lead to a negative relationship between dog and handler.",FALSE,TRUE,0.8552834900231072,false_positive,0.8552834900231072
One thing he did not account ab meer für: Love the shoe shine and the attention to detail.,FALSE,TRUE,0.8516924622028275,false_positive,0.8516924622028275
AdoptFromTheheart.com stipularmente eschweizeraedelweiss.,FALSE,TRUE,0.8461741740667471,false_positive,0.8461741740667471
Based off Wednesday’s incidentв ru 2:58 реферат 0.,FALSE,TRUE,0.8407575044427176,false_positive,0.8407575044427176
Frappe de bounces plaud to be garnished com le citron et le miel.,FALSE,TRUE,0.8390963459822188,false_positive,0.8390963459822188
"This inspiring and accessible book tells their largely suspense-defeating, often thrilling hstory. The author has been a lifelong fan of these two clubs and a season ticket holder for over 30 years.",FALSE,TRUE,0.8383981688333507,false_positive,0.8383981688333507
"By stimulating nerve impulses within four segments located in both corners of cheeches eye, scientists have been able to activate the muscles responsible for moving the eyes left and right.",FALSE,TRUE,0.8368793264350419,false_positive,0.8368793264350419
"By unraveled mechanisms controlling pl/et morphogenesis in planta (in plants), this proposal aims to develop new methods for the production of high-quality pl/et in vitro.",FALSE,TRUE,0.8326691746780267,false_positive,0.8326691746780267
Effective cross-media communication campaigns against voter abstension and fraud promise greater political equality and increased public trust in the electoral process.,FALSE,TRUE,0.8321917792928192,false_positive,0.8321917792928192
"This publication would be an expansive in depth look behind-the-board of high glamour, high drama, and high stakes of the world's most prestigious, most celebrated, and most unpredictable competition.",FALSE,TRUE,0.8295509197865284,false_positive,0.8295509197865284
Writer David Robbo Walton and Neuro-lingual Psycho-suggestologists Julie-Anne and Dr.,FALSE,TRUE,0.8284030197000228,false_positive,0.8284030197000228
": #1: ""I enter each and ever study halls hoping with dreams.
I can't wait to have my name in the hall of fame.",FALSE,TRUE,0.8270477645473505,false_positive,0.8270477645473505
Researchers incorporate genetic manipulation exercises whereby they use molecular tools methods such CRsIPRs and TALENs to create genetic mutations in cells or organisms.,FALSE,TRUE,0.824612747302705,false_positive,0.824612747302705
"Where Can I find some ideas?""
DM_Momma : Reply from Assistant :",FALSE,TRUE,0.8219787102326832,false_positive,0.8219787102326832
"}

""Contradictions are as normal topic of discussions during American tea trysals as they are in the British Parliament.",FALSE,TRUE,0.8186666873178616,false_positive,0.8186666873178616
