text,true_label,pred_label,pred_prob_TRUE,error_type,confidence
Writing these sections in rough involves several considerations. And you shouldn't be worried about the quality of the essay because you will get the best writers in the industry.,FALSE,TRUE,0.8069066915857431,false_positive,0.8069066915857431
"Not because little elves come March much more fun, too.Now, I'm not saying that I'm not excited for Christmas, because I am.",FALSE,TRUE,0.8035266107754465,false_positive,0.8035266107754465
"Although Team India had been belewhited by a series-damining defeat against Australia, it was a relief for the Indian cricket fans when the selectors announced a 15-man squad for the ICC World Cup 2019, which was to be held in England in May.",FALSE,TRUE,0.8031072645874462,false_positive,0.8031072645874462
Transportation can sometimes lead awkward.... Or translational) in its ability usefully to express the complex interrelations of human society.,FALSE,TRUE,0.7989125179264861,false_positive,0.7989125179264861
"For smaller corporations it helps appropriately utilized resources, and it hinges on how an organization performs in the market.",FALSE,TRUE,0.7908701769884781,false_positive,0.7908701769884781
"Check road conditions, and safeguard rules and regulations in different parts exist. If you are traveling by car, you must carry a valid driver’s license, car insurance, and proof of ownership.",FALSE,TRUE,0.7631087210500304,false_positive,0.7631087210500304
"Having had several instances…
Discussion | Friendship and Technology
Friendly Technology
Friendship Technology
Having had several instances where I have had to communicate with people who are not fluent in English, I have had some difficulties.",FALSE,TRUE,0.756533420189639,false_positive,0.756533420189639
Paris itself has several historic bridges boldly showcased an architectural design inspired if not directly derived from the Gothic style.,FALSE,TRUE,0.7525282315718168,false_positive,0.7525282315718168
We get many suggestions throughout agencies thanks to social change and organizations around the world.,FALSE,TRUE,0.750944279665823,false_positive,0.750944279665823
Footmen had started glaring red consequences on them to get awestrucks along the gullies.,FALSE,TRUE,0.738335361743403,false_positive,0.738335361743403
"These dangers stretch far beyond concerns wellness professionals and environmental activists tend to hover, and they’re not just limited to the immediate vicinity of the pipeline.",FALSE,TRUE,0.7308212269068588,false_positive,0.7308212269068588
"There can only...
Esperiantez International: Top Players in Top Tournaments
The Esperiantez International is an online chess tournament series created to give chess players from all around the world the opportunity to compete against the best players in the world.",FALSE,TRUE,0.7282203304538123,false_positive,0.7282203304538123
"Based in turn, stakeholders who are assigned to different sections will analyze the feasibility aspects of implementing the technology solutions and will then present their findings to the project team.",FALSE,TRUE,0.7210600140753696,false_positive,0.7210600140753696
"If things are going wrong with the temperature basics in an automobile, there imagine you will be able to tell.",FALSE,TRUE,0.6885798484482732,false_positive,0.6885798484482732
"Since moving to Seattle in and discovering the Craftsman Experience at South Country Road, I've become a bit of a fan of the Craftsman style.",FALSE,TRUE,0.6842932323212332,false_positive,0.6842932323212332
"It will assist you keep usefulness in check by assisting you monitor eating habits, work out routines, and stress levels.",FALSE,TRUE,0.6822608105213533,false_positive,0.6822608105213533
"Here,
in our consideration feature the fashion industry plays a critical stage in the lives of millions of people around the world.",FALSE,TRUE,0.6815446391622847,false_positive,0.6815446391622847
Disposable filter replacements help lend people bigger performance from the machine conveniently. It is also an eco-friendly choice because you don’t need to throw away the entire machine.,FALSE,TRUE,0.6799558134940451,false_positive,0.6799558134940451
Upon looking through travel literature recently and seeing all of TripAdvisor.com at once I have come to the realization that I have a serious problem.,FALSE,TRUE,0.6771702098114246,false_positive,0.6771702098114246
"Most cooking techniques combine sous vide methods, but a trick to perfecting sous vide cooking is to use a water bath that is heated to the exact temperature.",FALSE,TRUE,0.6740616859569607,false_positive,0.6740616859569607
"Incorporare la diversité dans lec ou nos en musique , et laiss les couleurs s’entremêler
Il y a un temps où nous avons été très amis
Je te revo, et je me rappelle
Nous étions si heureux, si heureux
Avec la musique, et le soleil, et la mer
Nous avons ri, et chanté, et dansé, et roulé dans la boue
Avec les amis, et la paix, et le soleil, et la mer
Je te revo, et je me rappelle
Et j’oublie tout, et je me rappelle
Je me souviens de la maison, de la rue
Et de la place, et de la fontaine
Et de la rue, et de la place, et de la fontaine
Et de la place, et de la fontaine
Avec la musique, et le soleil, et la mer
Nous avons ri, et chanté, et dansé, et.",FALSE,TRUE,0.6728432308251934,false_positive,0.6728432308251934
"To match my earlier description filed through the mind, the scent in both the original and the fragrance oil of this fragrance is a sweet, fruity aroma of ripe bananas.",FALSE,TRUE,0.6640480444022453,false_positive,0.6640480444022453
Though we’re in sightless bliss without any visual references to enjoy – we’re still able to revel in the world’s beauty as it manifests itself in sounds and smells.,FALSE,TRUE,0.6628604629402203,false_positive,0.6628604629402203
"Ironically it seems this much harder to convince people that it’s necessary.)
I guess they think they’re doing the right thing by not going to war with Iran, but that’s not the right thing to do.",FALSE,TRUE,0.6617037048038916,false_positive,0.6617037048038916
