label,text,encoded_label,label_normalized,oof_prob_TRUE,removal_reason
TRUE,"For success metrics like Net Promporter Stability Score(REPUTEE™ - 99.9% of program cohorts deliver positive ROI) and the most recent success metrics, see the Success Metrics web page.",1,TRUE,0.026757325977087,TRUE_prob_TRUE_le_0.05
TRUE,"Whether its seasoned stuffing crowned with marsh bits or traditional cherries, the stuffing is heralded & loved by ad1apers young & old.",1,TRUE,0.0499730072915554,TRUE_prob_TRUE_le_0.05
TRUE,"While it only absorbs half of the oil, this pantry staple bottle keeps the remaining fraction of nutrients, like useful vitamins A and barleybeta-Chromen.",1,TRUE,0.030503894512852,TRUE_prob_TRUE_le_0.05
TRUE,"Here and Here2 showcases the skills natural talents picked from a large collection of submissions.
As expected, the exercise spawned an enormous pile of entries.",1,TRUE,0.025739051712056,TRUE_prob_TRUE_le_0.05
TRUE,"HOL”
That’s truly interesting,”Production Design.” Given the amount to which we can use technology to create complex CG compositions and environments in post-production, it’s fascinating to see how much of the “production design” of a film can be accomplished on set.",1,TRUE,0.0353852349023024,TRUE_prob_TRUE_le_0.05
TRUE,"For a collaborative strategy and tactics project such as ours employed by third world refugees, tools for collaborations mostly include chat/chave messaging, video conferencing, document sharing, and project management software.",1,TRUE,0.023112514677147,TRUE_prob_TRUE_le_0.05
TRUE,"Attached above shows more information.)... View Face
How to teach your puppy toughgy dog. (If your furry pal is a puppy, then you’re in luck because you can start teaching him basic obedience commands right away.",1,TRUE,0.0430109146982431,TRUE_prob_TRUE_le_0.05
TRUE,"Mr B survived a serious injury, but was forced outdoors to frolic at the Guggenheim in the summer when their air condition was down.",1,TRUE,0.0313469118749102,TRUE_prob_TRUE_le_0.05
TRUE,"Whether your student supplement guide is designed mainly toward a slice from coursework or the entire spectrum overall, you can consistently bear that the students who are most successful in the program are those who are most focused on their own own learning.",1,TRUE,0.0248715654015541,TRUE_prob_TRUE_le_0.05
TRUE,"And here are savings advice that I think kind readers something like, ""Show up casually and be really curious,' he says.",1,TRUE,0.0160740852976838,TRUE_prob_TRUE_le_0.05
TRUE,"earable user to the chat room is estimated as affordable and sustainable. The focus of the proposed fiscal-year-FR budget is to provide an opportunity to purchase a new, modern vehicle to replace the current, aging vehicle.",1,TRUE,0.025779316201806,TRUE_prob_TRUE_le_0.05
TRUE,"Instead than having like five different things simmer out on bout the grill, and then figuring out who got what, let free do the work.",1,TRUE,0.0137801757082343,TRUE_prob_TRUE_le_0.05
TRUE,"Along comes my blanket to keep warm!
2. Burning incense sticks in the morning also helps me conjunte certain thoughts and feelings that I want to express in my poetry.",1,TRUE,0.0209222274521986,TRUE_prob_TRUE_le_0.05
