row_id,text,roberta_base,roberta_label_style_calibrated,roberta_label_style_rankblend_0p90,modernbert_lora_v2,modernbert_base,roberta_base_cv,roberta_base_cv_v2,roberta_style_features,roberta_base_rank,roberta_label_style_calibrated_rank,roberta_label_style_rankblend_0p90_rank,modernbert_lora_v2_rank,modernbert_base_rank,roberta_base_cv_rank,roberta_base_cv_v2_rank,roberta_style_features_rank,score_anchor_rank_light,score_anchor_rank_balanced,score_anchor_rank_calibrator,score_anchor_rank_modernbert
0,"Make adjustments monthly or quarterly as improvementsPushMatrix are made to address accountability, communication, and decision-making.",0.005871149,0.1118662095922689,0.3953809523809524,2.2318952e-06,0.012391,0.0059185000912596,0.0120285706594586,0.010089624,0.38476190476190475,0.490952380952381,0.4014285714285714,0.31,0.3457142857142857,0.19523809523809524,0.17476190476190476,0.24047619047619048,0.38615714285714287,0.3829,0.4009619047619048,0.36944285714285713
1,"So whether exploring applications designed for business purposes or entertainment / leisure-only use,
it makes perfect since we are living capability has broad and indefinite potential.",0.97627467,0.9879312027462982,0.924809523809524,0.99999976,0.99837565,0.8955557147661845,0.6573641022046407,0.85335374,0.9214285714285714,0.9552380952380952,0.9257142857142857,0.9911904761904762,0.9628571428571429,0.9838095238095238,0.9780952380952381,0.8761904761904762,0.9291142857142856,0.9329190476190476,0.9265047619047619,0.9322904761904761
2,Sleep deprivation further worsens the mental declayout suffered due the hectic examination schedule.,0.0061996374,0.0758460614323339,0.3896666666666666,8.013361e-06,0.011111983,0.0145860391979416,0.0550761270026365,0.1748469,0.4138095238095238,0.17238095238095238,0.39571428571428574,0.37761904761904763,0.33476190476190476,0.5657142857142857,0.6504761904761904,0.6852380952380952,0.3946285714285714,0.3916285714285714,0.37856190476190477,0.4116428571428571
3,"Create me one please!"" What person''s planner needs creating?
assistant:",0.033476137,0.1925427486453489,0.6558095238095237,6.706592e-08,0.0069929822,0.0220314501784741,0.0725098827853798,0.06444048,0.659047619047619,0.6266666666666667,0.6576190476190477,0.10952380952380952,0.2804761904761905,0.6128571428571429,0.6714285714285714,0.6252380952380953,0.6265095238095238,0.6107047619047619,0.6544,0.5843666666666666
4,"Based this reading, how funable will the activities in nature we plan for our family be.",0.0042572827,0.0914522473586586,0.143095238095238,1.959775e-09,3.4495446e-05,0.0056524548369149,0.013276374215881,0.007454155,0.11904761904761904,0.3595238095238095,0.13666666666666666,0.01,0.0038095238095238095,0.14047619047619048,0.29904761904761906,0.07095238095238095,0.13433809523809526,0.13835714285714285,0.15412380952380952,0.10460952380952379
5,They'd stop here half a thousand poems into Carol’s saga for nothing less a bagged selection of the interior architect s most prized possessions.,0.8694391,0.9372338327386518,0.7786190476190477,0.9758613,0.9173185,0.3436467858652274,0.2171400991578896,0.70371443,0.7785714285714286,0.7790476190476191,0.7785714285714286,0.7733333333333333,0.741904761904762,0.7523809523809524,0.7485714285714286,0.8052380952380952,0.777104761904762,0.7760809523809523,0.7786380952380952,0.7753904761904762
6,"If having an early teatreat, consider taking advantage and picking from mouthwatering selections that are available at the new Teatime at The Tea Shop in the heart of the city.",0.20161183,0.6287571094496743,0.7146190476190476,0.00050569535,0.21878079,0.2335311442924042,0.0378894525269667,0.51354736,0.7147619047619047,0.7133333333333334,0.7157142857142857,0.5614285714285714,0.5723809523809524,0.7285714285714285,0.6128571428571429,0.7566666666666667,0.7048238095238096,0.699452380952381,0.7146380952380953,0.6915666666666667
7,"But over years they also covered.
That will make ordering your ingredients and cooking your meals a lot easier.",0.005658966,0.0932511809404892,0.362047619047619,1.7221392e-08,0.0007670057,0.0056124445982277,0.0122106922169526,0.008510522,0.36047619047619045,0.3761904761904762,0.3719047619047619,0.05333333333333334,0.0919047619047619,0.13095238095238096,0.19904761904761906,0.1438095238095238,0.34062380952380955,0.3285428571428571,0.36359047619047624,0.3101285714285714
8,"It can irrupt sleep quality negatively loop, one of its most relevant negative effects impact on recipients heart disorders ecg in patients with sleep apnea.",0.9824117,0.9880521896465744,0.9713333333333334,0.999977,0.99750936,0.8873626589775085,0.6443889419237773,0.9124032,0.9728571428571429,0.9576190476190476,0.9733333333333334,0.920952380952381,0.9404761904761905,0.9604761904761905,0.9566666666666667,0.9419047619047619,0.9686476190476191,0.9667095238095239,0.9707619047619047,0.9656380952380951
9,"Additionally, if you need to cross behind the train so passengers are carrying their luggage over their heads.",0.003854186,0.0698373956836275,0.0424285714285714,1.4664465e-07,0.00027229785,0.0051668742671608,0.0117499111530681,0.006372682,0.035238095238095235,0.10714285714285714,0.03142857142857143,0.14666666666666667,0.04,0.04857142857142857,0.13714285714285715,0.023333333333333334,0.04654285714285714,0.051295238095238095,0.045,0.04790476190476191
10,"Several components should come key:
Floor plans: Floor panels displaying the location of stores and also services in the mall.",0.0054304544,0.0739619647803618,0.3152857142857143,8.674905e-06,0.14081761,0.0063698766753077,0.0133310355246067,0.0115976995,0.33380952380952383,0.14857142857142858,0.32,0.38476190476190475,0.5452380952380952,0.2761904761904762,0.30333333333333334,0.32142857142857145,0.3238238095238095,0.32195714285714283,0.3067714285714286,0.3480190476190477
11,"Taking time using your favorite cleansing immediately.
But before we dove going any further, I want to mention that I’m a 100% natural girl.",0.008015629,0.1246861759336163,0.5167619047619048,0.00031681635,0.014997438,0.006753291003406,0.0175411393865942,0.010930423,0.5142857142857142,0.539047619047619,0.520952380952381,0.5471428571428572,0.35714285714285715,0.3314285714285714,0.47523809523809524,0.2876190476190476,0.5124857142857142,0.510047619047619,0.5182857142857142,0.5056666666666666
